scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Tataouinea,Tataouinea,Tataouine (place)  ,Herbivore,10.0,,3.5,Quadrupedal,late cretaceous,Africa,Sauropod dinosaur,2015,Tunisia,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Tataouinea,1079
Aublysodon,Aublysodon,blunt tooth,Carnivore,6.0,800.0,2.0,Bipedal,Late Cretaceous (Maastrichtian),North America (USA),Poorly known theropod; possibly juvenile tyrannosaur,1868,"Judith River Formation, Montana",Named from teeth only; possibly invalid genus,Unknown,https://en.wikipedia.org/wiki/Aublysodon,405
Tameryraptor,Tameryraptor,Tamery thief,Carnivore,6.0,unknown,2.5,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,around 2019,Mongolia,Medium-sized predator,Medium,https://en.wikipedia.org/wiki/Tameryraptor,1491
Rinchenia,Rinchenia,Named after Rinchen Barsbold,Omni vore,1.5,25.0,1.0,Bipedal,Late Cretaceous,Mongolia,Closely related to Oviraptor,1986,Mongolia,Crested skull,MEDIUM,https://en.wikipedia.org/wiki/Rinchenia,239
Galeamopus,Galeamopus,helmet face,Herbivore,25.0,15000.0,,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Diplodocid sauropod with distinct neck structure,2015,"Morrison Formation, Wyoming",Formerly classified as Diplodocus,Low,https://en.wikipedia.org/wiki/Galeamopus,610
Elaphrosaurus,Elaphrosaurus,Different lizard,Carnivore,12.0,2000.0,3.5,Bipedal,Late? Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Elaphrosaurus,99
Utahraptor,Utahraptor,Utah thief,Carnivore,6.0,500.0,2.0,Bipedal,Early Cretaceous,North America,Dromaeosaurid dinosaur,1993?,USA,Large raptor,Large,https://en.wikipedia.org/wiki/Utahraptor,1145
Zalmoxes,Zalmoxes robustus,Zalmoxis,Herbivore,2.5,50.0,1.0,Bipedal,Late Cretaceous,Romania,Island-dwelling ornithopod from Ha?eg,01/01/1899,"Ha?eg Island, Romania",Small body due to island dwarfism,Medium,https://en.wikipedia.org/wiki/Zalmoxes,297
Priconodon,Priconodon,Saw tooth,HERBIVORE,6.0,2500.0,2.0,Quadrupedal,Late Cretaceous,North America,Ankylosaur dinosaur,1902,USA,Heavily armored herbivore,Medium,https://en.wikipedia.org/wiki/Priconodon,932
Ultrasaurus,Ultrasaurus tabriensis,Ultra lizard,Herbivore,30.0,50000.0,8.0, Quadrupedal,Early Cretaceous,South Korea,Name caused taxonomic confusion  ,1983,South Korea,Often confused with Ultrasauros (US),,https://en.wikipedia.org/wiki/Ultrasaurus,275
